,track_id,artists,album_name,track_name,duration_ms,genre
8103,7sBAcUGY0eLY6sfX3eOzNc,Ella Fitzgerald,Jingle Bell Rock 2022,Frosty The Snowman,131733,blues
8104,0OpPGBkgaZ6zCWKAYXPNpc,Ella Fitzgerald;Louis Armstrong,Desayuno en calma,Moonlight In Vermont,219600,blues
8105,1W1wxzJyuHRjtxMPMhqufs,Ella Fitzgerald,12 Days of Christmas 2022,Frosty The Snowman,131733,blues
8106,5TIUgAE7x3xmJJUMI8SrgM,Ella Fitzgerald,Rock Christmas 2022 - The Very Best Of,Sleigh Ride,175986,blues
8107,1DoF49hx0Rl0repeJUKbJe,Ella Fitzgerald,pov: you are walking in a winter wonderland,Frosty The Snowman,131733,blues
8108,2gaVsa8Ifi2w2csnRqNN2F,Ella Fitzgerald,Slow Christmas Songs 2022,The Secret Of Christmas,168146,blues
8109,5YC6XWGWSlH4rxbmzvmCQj,Ella Fitzgerald,JULMUSIK,Sleigh Ride,175986,blues
8110,7tfSlkyv8xmyoUEGd53mBC,Ella Fitzgerald;Louis Armstrong,Coffee Break,Dream A Little Dream Of Me - Single Version,187693,blues
8111,6JLsAMhOQkmEUvr0t4EIDt,Ella Fitzgerald,GOD JUL,Rudolph The Red-Nosed Reindeer,171773,blues
8112,5qI9gSVZRtAcbkw1Xzx0B9,Ella Fitzgerald,Christmas 2022,Frosty The Snowman,131733,blues
8113,07vTKxT54r3a23Q0gILvOu,Ella Fitzgerald,pov: you have a holly jolly christmas,Frosty The Snowman,131733,blues
8114,2OImOyNxoQj3EhOjfGtkT4,Ella Fitzgerald,Christmas Dinner 2022,Sleigh Ride,175986,blues
8115,5lIAn4lM6KBYzpNttHWhAZ,Ella Fitzgerald,Weihnachten Playlist,Frosty The Snowman,131733,blues
8116,6m1A74FqvZFF9zRTI23P8I,Ella Fitzgerald,The Very Best Christmas Songs 2022,Frosty The Snowman,131733,blues
8117,1L2haXaEqTMAcdUyAZJeV9,Ella Fitzgerald,Home At Christmas,Winter Wonderland,137026,blues
8118,4lJX2CpRZKPWAIOzOdvENF,Ella Fitzgerald,Home At Christmas,Frosty The Snowman,131733,blues
8119,0lOk1COnPBSFGzg1Gt5IBa,Ella Fitzgerald,A Very 60s Christmas,Rudolph The Red-Nosed Reindeer,171773,blues
8120,1KOqPUSBvfcVFvmbDxYLyC,Ella Fitzgerald,pov: you saw mommy kissing santa claus,Sleigh Ride,175986,blues
